rank,score,path,label
1,0.154879,data\crops\000000337055_suitcase_1.jpg,1
2,0.152747,data\crops\000000437351_suitcase_1.jpg,1
3,0.151876,data\crops\000000422836_suitcase_1.jpg,1
4,0.141572,data\crops\000000511599_person_2.jpg,1
5,0.140821,data\crops\000000011699_suitcase_1.jpg,1
6,0.138895,data\crops\000000422836.jpg,1
7,0.136676,data\crops\000000292236_person_5.jpg,1
8,0.136673,data\crops\000000434459_person_3.jpg,1
9,0.134051,data\crops\000000082812_person_8.jpg,0
10,0.133353,data\crops\000000009891_suitcase_2.jpg,1
