rank,score,path,label
1,0.142054,data\crops\000000114049_person_2.jpg,1
2,0.140181,data\crops\000000259597_person_1.jpg,1
3,0.135847,data\crops\000000100624_cell phone_1.jpg,1
4,0.132263,data\crops\000000174371_cell phone_1.jpg,1
5,0.131092,data\crops\000000048564_cell phone_1.jpg,1
6,0.129445,data\crops\000000326541_person_1.jpg,1
7,0.127376,data\crops\000000414795_person_3.jpg,1
8,0.126189,data\crops\000000343561_bicycle_7.jpg,1
9,0.125415,data\crops\000000285047_cell phone_1.jpg,1
10,0.125403,data\crops\000000399205_cell phone_1.jpg,1
