rank,score,path,label
1,0.147996,data\crops\000000534605_motorcycle_2.jpg,1
2,0.147084,data\crops\000000457848_motorcycle_2.jpg,1
3,0.146736,data\crops\000000102411_motorcycle_1.jpg,1
4,0.140711,data\crops\000000291634_motorcycle_1.jpg,1
5,0.140528,data\crops\000000136715_motorcycle_2.jpg,1
6,0.140076,data\crops\000000203389_motorcycle_1.jpg,1
7,0.140045,data\crops\000000194875_motorcycle_2.jpg,1
8,0.139704,data\crops\000000481567_motorcycle_1.jpg,1
9,0.139390,data\crops\000000534605_motorcycle_3.jpg,1
10,0.138881,data\crops\000000571264_motorcycle_1.jpg,1
