rank,score,path,label
1,0.145217,data\crops\000000534605_motorcycle_2.jpg,1
2,0.140046,data\crops\000000457848_motorcycle_2.jpg,1
3,0.136442,data\crops\000000312421_motorcycle_1.jpg,1
4,0.136316,data\crops\000000226662_detected_full.jpg,1
5,0.136082,data\crops\000000011149_motorcycle_1.jpg,1
6,0.135585,data\crops\000000194875_motorcycle_2.jpg,1
7,0.134443,data\crops\000000291791_detected_full.jpg,1
8,0.133540,data\crops\000000245448_motorcycle_1.jpg,1
9,0.132702,data\crops\000000102411_motorcycle_1.jpg,1
10,0.132040,data\crops\000000457848_motorcycle_1.jpg,1
