rank,score,path,label
1,0.149591,data\crops\000000253835_backpack_1.jpg,1
2,0.143563,data\crops\000000132796_backpack_1.jpg,1
3,0.142719,data\crops\000000100624_backpack_1.jpg,1
4,0.142246,data\crops\000000032887_backpack_1.jpg,1
5,0.139509,data\crops\000000441543_person_2.jpg,1
6,0.139509,data\crops\000000441543_person_4.jpg,1
7,0.139052,data\crops\000000011197_person_3.jpg,1
8,0.138513,data\crops\000000054592_backpack_1.jpg,
9,0.138129,data\crops\000000082812_person_8.jpg,
10,0.137507,data\crops\000000346232_person_3.jpg,
