rank,score,path,label
1,0.147603,data\crops\000000319369_umbrella_1.jpg,1
2,0.144187,data\crops\000000322610_umbrella_1.jpg,1
3,0.143653,data\crops\000000360137_person_1.jpg,1
4,0.142987,data\crops\000000557672_umbrella_1.jpg,1
5,0.142079,data\crops\000000191845_umbrella_13.jpg,1
6,0.141589,data\crops\000000540466_umbrella_1.jpg,1
7,0.141173,data\crops\000000413689_umbrella_2.jpg,1
8,0.140394,data\crops\000000248284_umbrella_1.jpg,1
9,0.140205,data\crops\000000443969_umbrella_2.jpg,1
10,0.139820,data\crops\000000007088_umbrella_1.jpg,1
