rank,score,path,label
1,0.141490,data\crops\000000092416_bottle_1.jpg,1
2,0.132541,data\crops\000000559956_bottle_2.jpg,1
3,0.129562,data\crops\000000174371_person_7.jpg,1
4,0.129182,data\crops\000000284991_bottle_1.jpg,1
5,0.121778,data\crops\000000474167_person_1.jpg,1
6,0.118917,data\crops\000000343561_bicycle_7.jpg,1
7,0.118444,data\crops\000000414034_bed_1.jpg,1
8,0.117944,data\crops\000000267169_bottle_1.jpg,1
9,0.116466,data\crops\000000441247_person_2.jpg,1
10,0.116451,data\crops\000000276055_umbrella_1.jpg,1
