rank,score,path,label
1,0.157159,data\crops\000000422836_suitcase_1.jpg,1
2,0.147053,data\crops\000000337055_suitcase_1.jpg,1
3,0.146346,data\crops\000000442456_person_2.jpg,1
4,0.142542,data\crops\000000042628_person_5.jpg,1
5,0.140522,data\crops\000000422836.jpg,1
6,0.138659,data\crops\000000233370_suitcase_1.jpg,1
7,0.137928,data\crops\000000292236_person_5.jpg,1
8,0.137822,data\crops\000000346232_person_6.jpg,1
9,0.137663,data\crops\000000437351_suitcase_1.jpg,1
10,0.137615,data\crops\000000210388_suitcase_1.jpg,1
