rank,score,path,label
1,0.147787,data\crops\000000441586_bicycle_1.jpg,1
2,0.145298,data\crops\000000011149_bicycle_2.jpg,1
3,0.143917,data\crops\000000076547_bicycle_1.jpg,1
4,0.139692,data\crops\000000050145_bicycle_1.jpg,1
5,0.139599,data\crops\000000577932_bicycle_1.jpg,1
6,0.139564,data\crops\000000074058_bicycle_1.jpg,1
7,0.139233,data\crops\000000074058_bicycle_2.jpg,1
8,0.138103,data\crops\000000414510_bicycle_1.jpg,1
9,0.137248,data\crops\000000125572_bicycle_1.jpg,1
10,0.137144,data\crops\000000185472_bicycle_1.jpg,1
