rank,score,path,label
1,0.134834,data\crops\000000092416_bottle_1.jpg,1
2,0.131212,data\crops\000000267169_bottle_1.jpg,1
3,0.128562,data\crops\000000284991_bottle_1.jpg,1
4,0.128477,data\crops\000000233238_bottle_4.jpg,1
5,0.125393,data\crops\000000564091_bottle_1.jpg,1
6,0.124507,data\crops\000000559956_bottle_2.jpg,1
7,0.121021,data\crops\000000284991_detected_full.jpg,1
8,0.119065,data\crops\000000534041_detected_full.jpg,1
9,0.116868,data\crops\000000267169_person_1.jpg,1
10,0.116475,data\crops\000000419379_person_1.jpg,1
