rank,score,path,label
1,0.137915,data\crops\000000285047_cell phone_1.jpg,1
2,0.137526,data\crops\000000100624_cell phone_1.jpg,1
3,0.136838,data\crops\000000399205_cell phone_1.jpg,1
4,0.136585,data\crops\000000048564_cell phone_1.jpg,1
5,0.130867,data\crops\000000388903_cell phone_1.jpg,1
6,0.128374,data\crops\000000174371_cell phone_1.jpg,1
7,0.127197,data\crops\000000497344_cell phone_1.jpg,1
8,0.126872,data\crops\000000292488.jpg,1
9,0.126469,data\crops\000000259597_cell phone_1.jpg,1
10,0.126038,data\crops\000000292488_detected_full.jpg,1
