rank,score,path,label
1,0.142929,data\crops\000000281687_handbag_1.jpg,1
2,0.141111,data\crops\000000246454_handbag_1.jpg,1
3,0.140203,data\crops\000000250137_handbag_1.jpg,1
4,0.139185,data\crops\000000001268_handbag_1.jpg,1
5,0.135563,data\crops\000000329041_person_1.jpg,1
6,0.135556,data\crops\000000398377_handbag_1.jpg,1
7,0.134441,data\crops\000000233771_handbag_1.jpg,1
8,0.133355,data\crops\000000153529_person_4.jpg,1
9,0.133276,data\crops\000000226147_handbag_1.jpg,1
10,0.132988,data\crops\000000401446_handbag_1.jpg,1
