rank,score,path
1,0.162991,data\crops\000000376112_person_2.jpg
2,0.143456,data\crops\000000186449_person_2.jpg
3,0.143456,data\crops\000000186449_person_5.jpg
4,0.141320,data\crops\000000236308_person_2.jpg
5,0.140452,data\crops\000000253835_backpack_1.jpg
6,0.140421,data\crops\000000346232_backpack_1.jpg
7,0.140163,data\crops\000000346232_person_6.jpg
8,0.138556,data\crops\000000441543_person_4.jpg
9,0.138556,data\crops\000000441543_person_2.jpg
10,0.137962,data\crops\000000507667_person_3.jpg
