rank,score,path,label
1,0.147989,data\crops\000000246454_handbag_1.jpg,1
2,0.144800,data\crops\000000151000_handbag_1.jpg,1
3,0.142092,data\crops\000000001268_handbag_1.jpg,1
4,0.139209,data\crops\000000222118_handbag_1.jpg,1
5,0.138279,data\crops\000000297578_handbag_1.jpg,1
6,0.138258,data\crops\000000042628_person_5.jpg,1
7,0.137819,data\crops\000000281687_handbag_1.jpg,1
8,0.137103,data\crops\000000011699_handbag_1.jpg,1
9,0.136938,data\crops\000000250137_handbag_1.jpg,1
10,0.134727,data\crops\000000233771_handbag_1.jpg,1
