rank,score,path,label
1,0.133185,data\crops\000000185472_bicycle_1.jpg,1
2,0.132753,data\crops\000000076547_bicycle_1.jpg,1
3,0.132116,data\crops\000000441586_bicycle_1.jpg,1
4,0.131968,data\crops\000000227399_bicycle_1.jpg,1
5,0.131858,data\crops\000000011149_bicycle_2.jpg,1
6,0.131795,data\crops\000000370208.jpg,1
7,0.131671,data\crops\000000074058_bicycle_2.jpg,1
8,0.131570,data\crops\000000226417_bicycle_1.jpg,1
9,0.131535,data\crops\000000370208_detected_full.jpg,1
10,0.130620,data\crops\000000074058_bicycle_1.jpg,1
