rank,score,path,label
1,0.147169,data\crops\000000557672_umbrella_1.jpg,1
2,0.146583,data\crops\000000575243_umbrella_1.jpg,1
3,0.144641,data\crops\000000360137_person_1.jpg,1
4,0.144546,data\crops\000000540466_umbrella_1.jpg,1
5,0.144028,data\crops\000000281759_umbrella_1.jpg,1
6,0.142378,data\crops\000000557672.jpg,1
7,0.141611,data\crops\000000032861_umbrella_1.jpg,1
8,0.141351,data\crops\000000443969_umbrella_2.jpg,1
9,0.141284,data\crops\000000537506_umbrella_1.jpg,1
10,0.140647,data\crops\000000180487_umbrella_1.jpg,1
